destination_id,name,category,province,price,google_rating,latitude,longitude,description
1,"Tanah Lot",Bahari,Bali,20000.00,3.8,-8.6211985,115.0868241,"Pura megah di atas bongkahan batu karang besar di pesisir laut, terkenal dengan panorama matahari terbenam yang memukau dan ombak samudera Hindia."
2,"Pantai Kelingking Nusa Penida",Alam,Bali,25000.00,4.8,-8.750849,115.474678,"Tebing karang menyerupai T-Rex yang menjorok ke laut biru toska berpasir putih murni, salah satu ikon pemandangan alam paling spektakuler di dunia."
3,"Pura Ulun Danu Beratan",Budaya,Bali,50000.00,4.7,-8.275179,115.166667,"Pura air suci di tepi Danau Beratan Bedugul yang sejuk berkabut, tampak terapung magis di atas permukaan air danau pegunungan."
4,"Candi Borobudur",Alam,"Jawa Tengah",15000.00,3.7,-7.6045376,110.2008049,"Candi Buddha terbesar di dunia yang merupakan Situs Warisan Dunia UNESCO, dihiasi ribuan panel relief filosofis dan stupa berlubang megah."
5,"Candi Prambanan",Budaya,"DI Yogyakarta",10000.00,4.7,-7.6843704,110.3541877,"Kompleks percandian Hindu megah abad ke-9 yang menjulang tinggi dengan relief kisah epos Ramayana serta pertunjukan sendratari mempesona."
6,"Gunung Bromo",Alam,"Jawa Timur",50000.00,4.7,-7.9424934,112.9530122,"Lautan pasir berbisik dan kawah aktif spektakuler di Kaldera Tengger, terkenal dengan sunrise emas mempesona dari bukit Penanjakan."
7,"Kawah Ijen",Bahari,"Jawa Timur",100000.00,3.6,-8.0588236,114.2527131,"Danau kawah asam toska terbesar di dunia dengan fenomena api biru (blue fire) langka yang memukau penjelajah di malam hari."
8,"Pulau Padar Labuan Bajo",Bahari,"Nusa Tenggara Timur",150000.00,4.9,-8.653611,119.575,"Puncak bukit legendaris yang menghadap ke tiga teluk dengan warna pasir berbeda (putih, merah muda, dan hitam) di Taman Nasional Komodo."
9,"Kepulauan Raja Ampat (Piaynemo)",Bahari,"Papua Barat Daya",500000.00,4.9,-0.560731,130.272186,"Gugusan pulau karang karst kecil di atas laut biru kehijauan yang jernih, surga terumbu karang terkaya di bumi dengan ratusan spesies ikan langka."
10,"Danau Toba & Pulau Samosir",Alam,"Sumatera Utara",10000.00,4.7,2.684534,98.875605,"Danau vulkanik kaldera terbesar di dunia dengan panorama pegunungan memukau, kebudayaan Batak yang otentik, dan udara sejuk menyegarkan."
11,"Lembah Harau & Ngarai Sianok",Alam,"Sumatera Barat",15000.00,4.7,-0.106667,100.672222,"Lembah tebing granit curam setinggi 100-500 meter yang dihiasi air terjun indah dan hamparan sawah hijau permadani di Bukittinggi."
12,"Kawah Putih Ciwidey",Alam,"Jawa Barat",28000.00,4.6,-7.166204,107.402128,"Danau kawah belerang berwarna putih kehijauan yang magis di ketinggian 2.434 mdpl pegunungan Bandung Selatan berhawa dingin."
